一	一 𽀀
𦌏	𦌏 𾗡
罧	罧 𾗢
𮰅	𮰅 𾗢
𦋗	𦋗 𾗢
𦊞	𦊞 𾗣
罠	罠 𾗣
羅	羅 𾗤
𦌴	𦌴 𾗤
𦋖	𦋖 𾗥
罬	罬 𾗥
𦌜	𦌜 𾗦
罿	罿 𾗦
䍖	䍖 𾗧
𦊠	𦊠 𾗧
𦋄	𦋄 𾗨
罦	罦 𾗨
𮊘	𮊘 𾗩
罻	罻 𾗩
𦋑	𦋑 𾗪
𦊾	𦊾 𾗪
𦊍	𦊍 𾗫
𦊂	𦊂 𾗫
罝	罝 𾗬
𦊩	𦊩 𾗬
𦊨	𦊨 𾗬
𦋽	𦋽 𾗭
𦋾	𦋾 𾗮
𦌳	𦌳 𾗯
𦌬	𦌬 𾗯
𦋧	𦋧 𾗰
署	署 𾗰
罷	罷 𾗱
𦋼	𦋼 𾗱
置	置 𾗲
𦋘	𦋘 𾗲
𦋫	𦋫 𾗳
罯	罯 𾗴
𧧧	𧧧 𾗴
詈	詈 𾗴
𦋻	𦋻 𾗵
罵	罵 𾗵
駡	駡 𾗵
𦌱	𦌱 𾗶
𦌭	𦌭 𾗶
𦍊	𦍊 𾗷
𦍈	𦍈 𾗷
䍞	䍞 𾗸
罭	罭 𾗸
𦋮	𦋮 𾗹
罳	罳 𾗹
𦌐	𦌐 𾗺
罹	罹 𾗺
襾	襾 𾗻
覀	覀 𾗻
覂	覂 𾗼
覈	覈 𾗽
𩅢	𩅢 𾗾
覆	覆 𾗿
𧠃	𧠃 𾗿
巾	巾 𾘀
𢁥	𢁥 𾘁
帥	帥 𾘂
帨	帨 𾘃
𰏞	𰏞 𾘄
𢄢	𢄢 𾘅
帗	帗 𾘆
㠴	㠴 𾘇
幋	幋 𾘈
帤	帤 𾘉
幣	幣 𾘊
幅	幅 𾘋
㡃	㡃 𾘌
㡆	㡆 𾘌
帶	帶 𾘍
幘	幘 𾘎
𢅙	𢅙 𾘎
㡄	㡄 𾘏
帔	帔 𾘐
常	常 𾘑
裳	裳 𾘒
帬	帬 𾘓
裠	裠 𾘔
帴	帴 𾘕
㡓	㡓 𾘖
褌	褌 𾘗
幒	幒 𾘘
𢃓	𢃓 𾘙
𢅡	𢅡 𾘚
幎	幎 𾘛
幔	幔 𾘜
𢄛	𢄛 𾘝
𢅂	𢅂 𾘝
㡘	㡘 𾘞
帷	帷 𾘟
𠥛	𠥛 𾘠
𠥎	𠥎 𾘠
帳	帳 𾘡
幕	幕 𾘢
㠲	㠲 𾘣
㡜	㡜 𾘤
㡏	㡏 𾘥
帖	帖 𾘦
帙	帙 𾘧
袠	袠 𾘨
𢃬	𢃬 𾘩
幑	幑 𾘪
幖	幖 𾘫
𢅽	𢅽 𾘫
㠾	㠾 𾘬
幡	幡 𾘭
𢃴	𢃴 𾘮
㡨	㡨 𾘯
幝	幝 𾘰
𢄐	𢄐 𾘱
幭	幭 𾘲
𢅿	𢅿 𾘳
幠	幠 𾘳
飾	飾 𾘴
幃	幃 𾘵
帣	帣 𾘶
帚	帚 𾘷
席	席 𾘸
𠩛	𠩛 𾘹
𦩫	𦩫 𾘺
幐	幐 𾘺
㬺	㬺 𾘺
𢅯	𢅯 𾘻
㡒	㡒 𾘼
㠷	㠷 𾘽
幩	幩 𾘾
𢅼	𢅼 𾘿
㡪	㡪 𾙀
帑	帑 𾙁
布	布 𾙂
幏	幏 𾙃
㡉	㡉 𾙄
㡔	㡔 𾙅
幦	幦 𾙆
㡇	㡇 𾙇
幢	幢 𾙈
幟	幟 𾙉
帟	帟 𾙊
幗	幗 𾙋
幧	幧 𾙌
帒	帒 𾙍
帊	帊 𾙎
幞	幞 𾙏
幰	幰 𾙐
巿	巿 𾙑
韍	韍 𾙒
𢂷	𢂷 𾙓
韐	韐 𾙔
帛	帛 𾙕
錦	錦 𾙖
白	白 𾙗
𠓞	𠓞 𾙘
𦣺	𦣺 𾙘
皎	皎 𾙙
皢	皢 𾙚
皙	皙 𾙛
皤	皤 𾙜
𩕏	𩕏 𾙝
㿥	㿥 𾙞
皚	皚 𾙟
皅	皅 𾙠
皦	皦 𾙡
𡭴	𡭴 𾙢
皛	皛 𾙣
㡀	㡀 𾙤
敝	敝 𾙥
黹	黹 𾙦
𪓐	𪓐 𾙧
黼	黼 𾙨
黻	黻 𾙩
𪓌	𪓌 𾙪
黺	黺 𾙫
人	人 𾙬
僮	僮 𾙭
𠈃	𠈃 𾙮
保	保 𾙮
𡥀	𡥀 𾙯 𿮻
𣎼	𣎼 𾙯 𿮻
呆	呆 𾙯 𿮻
𠊻	𠊻 𾙰
𠌀	𠌀 𾙰
𠍂	𠍂 𾙰
仁	仁 𾙱
忎	忎 𾙲
𡰥	𡰥 𾙳
企	企 𾙴
𠈮	𠈮 𾙵
仞	仞 𾙶
仕	仕 𾙷
佼	佼 𾙸
僎	僎 𾙹
𠊨	𠊨 𾙹
俅	俅 𾙺
佩	佩 𾙻
儒	儒 𾙼
俊	俊 𾙽
傑	傑 𾙾
㑮	㑮 𾙿
伋	伋 𾚀
伉	伉 𾚁
伯	伯 𾚂
仲	仲 𾚃
伊	伊 𾚄
𠈽	𠈽 𾚅
偰	偰 𾚆
倩	倩 𾚇
伃	伃 𾚈
伀	伀 𾚉
𠐛	𠐛 𾚊
儇	儇 𾚊
倓	倓 𾚋
𠋴	𠋴 𾚌
侚	侚 𾚍
傛	傛 𾚎
僷	僷 𾚏
佳	佳 𾚐
侅	侅 𾚑
傀	傀 𾚒
𤪿	𤪿 𾚓
偉	偉 𾚔
份	份 𾚕
彬	彬 𾚖
𠏗	𠏗 𾚗
僚	僚 𾚗
佖	佖 𾚘
𠊩	𠊩 𾚙
儠	儠 𾚚
儦	儦 𾚛
儺	儺 𾚜
倭	倭 𾚝
僓	僓 𾚞
僑	僑 𾚟
俟	俟 𾚠
侗	侗 𾚡
佶	佶 𾚢
俁	俁 𾚣
俣	俣 𾚣
仜	仜 𾚤
僤	僤 𾚥
健	健 𾚦
倞	倞 𾚧
傲	傲 𾚨
㐹	㐹 𾚩
倨	倨 𾚪
儼	儼 𾚫
傪	傪 𾚬
俚	俚 𾚭
伴	伴 𾚮
俺	俺 𾚯
僩	僩 𾚰
僴	僴 𾚰
伾	伾 𾚱
偲	偲 𾚲
倬	倬 𾚳
侹	侹 𾚴
倗	倗 𾚵
傓	傓 𾚶
儆	儆 𾚷
俶	俶 𾚸
傭	傭 𾚹
僾	僾 𾚺
𠎹	𠎹 𾚺
仿	仿 𾚻
㑂	㑂 𾚼
佛	佛 𾚽
僁	僁 𾚾
僟	僟 𾚿
佗	佗 𾛀
何	何 𾛁
儋	儋 𾛂
供	供 𾛃
偫	偫 𾛄
儲	儲 𾛅
僃	僃 𾛆
備	備 𾛆
𠈍	𠈍 𾛇
位	位 𾛈
儐	儐 𾛉
擯	擯 𾛊
偓	偓 𾛋
佺	佺 𾛌
㒤	㒤 𾛍
仢	仢 𾛎
儕	儕 𾛏
倫	倫 𾛐
侔	侔 𾛑
偕	偕 𾛒
俱	俱 𾛓
倶	倶 𾛓
儹	儹 𾛔
倂	倂 𾛕
併	併 𾛕
傅	傅 𾛖
侙	侙 𾛗
俌	俌 𾛘
倚	倚 𾛙
依	依 𾛚
仍	仍 𾛛
佽	佽 𾛜
佴	佴 𾛝
倢	倢 𾛞
侍	侍 𾛟
傾	傾 𾛠
側	側 𾛡
侒	侒 𾛢
侐	侐 𾛣
付	付 𾛤
俜	俜 𾛥
俠	俠 𾛦
儃	儃 𾛧
侁	侁 𾛨
仰	仰 𾛩
侸	侸 𾛪
儽	儽 𾛫
㒍	㒍 𾛬
𠋿	𠋿 𾛭
侳	侳 𾛭
偁	偁 𾛮
伍	伍 𾛯
什	什 𾛰
佰	佰 𾛱
𠈲	𠈲 𾛲
佸	佸 𾛲
佮	佮 𾛳
𢼸	𢼸 𾛴
傆	傆 𾛵
作	作 𾛶
假	假 𾛷
借	借 𾛸
𠎥	𠎥 𾛸
㑴	㑴 𾛹
侵	侵 𾛹
儥	儥 𾛺
緱	緱 𾛻
𠊱	𠊱 𾛻
候	候 𾛻
𠋫	𠋫 𾛻
償	償 𾛼
僅	僅 𾛽
代	代 𾛾
儀	儀 𾛿
傍	傍 𾜀
𠊓	𠊓 𾜀
佀	佀 𾜁
似	似 𾜁
𠊳	𠊳 𾜂
便	便 𾜂
任	任 𾜃
俔	俔 𾜄
優	優 𾜅
僖	僖 𾜆
𠎲	𠎲 𾜇
偆	偆 𾜇
俒	俒 𾜈
儉	儉 𾜉
偭	偭 𾜊
俗	俗 𾜋
俾	俾 𾜌
倪	倪 𾜍
𠐥	𠐥 𾜎
億	億 𾜎
𠉕	𠉕 𾜏
使	使 𾜏
𠋳	𠋳 𾜐
伶	伶 𾜑
儷	儷 𾜒
傳	傳 𾜓
倌	倌 𾜔
价	价 𾜕
仔	仔 𾜖
㑞	㑞 𾜗
𠈪	𠈪 𾜗
俆	俆 𾜘
𠌸	𠌸 𾜙
偋	偋 𾜙
伸	伸 𾜚
伹	伹 𾜛
㒄	㒄 𾜜
偄	偄 𾜝
倍	倍 𾜞
傿	傿 𾜟
僭	僭 𾜠
儗	儗 𾜡
偏	偏 𾜢
倀	倀 𾜣
𠐿	𠐿 𾜤
儔	儔 𾜥
侜	侜 𾜦
俴	俴 𾜧
佃	佃 𾜨
𠈈	𠈈 𾜩
侊	侊 𾜪
佻	佻 𾜫
僻	僻 𾜬
伭	伭 𾜭
𠆺	𠆺 𾜭
伎	伎 𾜮
侈	侈 𾜯
佁	佁 𾜰
𠋺	𠋺 𾜱
僞	僞 𾜲
伿	伿 𾜳
佝	佝 𾜴
𠑎	𠑎 𾜵
僄	僄 𾜵
倡	倡 𾜶
俳	俳 𾜷
𭀒	𭀒 𾜸
𠑫	𠑫 𾜸
儳	儳 𾜹
佚	佚 𾜺
俄	俄 𾜻
㑾	㑾 𾜼
𠊬	𠊬 𾜽
傞	傞 𾜾
僛	僛 𾜿
侮	侮 𾝀
㑄	㑄 𾝁
㑵	㑵 𾝂
嫉	嫉 𾝃
㑥	㑥 𾝄
俙	俙 𾝅
僨	僨 𾝆
僵	僵 𾝇
仆	仆 𾝈
偃	偃 𾝉
傷	傷 𾝊
倄	倄 𾝋
侉	侉 𾝌
催	催 𾝍
俑	俑 𾝎
伏	伏 𾝏
促	促 𾝐
𠊖	𠊖 𾝑
係	係 𾝒
伐	伐 𾝓
俘	俘 𾝔
但	但 𾝕
傴	傴 𾝖
僂	僂 𾝗
僇	僇 𾝘
仇	仇 𾝙
儡	儡 𾝚
咎	咎 𾝛
仳	仳 𾝜
倃	倃 𾝝
倠	倠 𾝞
値	値 𾝟
值	值 𾝟
侂	侂 𾝠
僔	僔 𾝡
像	像 𾝢
倦	倦 𾝣
𠑤	𠑤 𾝤
傮	傮 𾝤
偶	偶 𾝥
弔	弔 𾝦
吊	吊 𾝦
𢎣	𢎣 𾝦
佋	佋 𾝧
㑗	㑗 𾝨
㒨	㒨 𾝩
𠑗	𠑗 𾝩
僊	僊 𾝩
僰	僰 𾝪
仚	仚 𾝫
僥	僥 𾝬
𠏮	𠏮 𾝭 𾝮
𠍧	𠍧 𾝯
俇	俇 𾝯
件	件 𾝰
侶	侶 𾝱
侣	侣 𾝱
侲	侲 𾝲
倅	倅 𾝳
傔	傔 𾝴
倜	倜 𾝵
儻	儻 𾝶
佾	佾 𾝷
倒	倒 𾝸
儈	儈 𾝹
低	低 𾝺
債	債 𾝻
價	價 𾝼
停	停 𾝽
僦	僦 𾝾
伺	伺 𾝿
僧	僧 𾞀
佇	佇 𾞁
偵	偵 𾞂
𠤎	𠤎 𾞃
𥎲	𥎲 𾞄
𠤜	𠤜 𾞄
眞	眞 𾞅
真	真 𾞅
𠤛	𠤛 𾞆
化	化 𾞇
匕	匕 𾞈
匙	匙 𾞉
𠤏	𠤏 𾞊
𢺵	𢺵 𾞋
頃	頃 𾞌
匘	匘 𾞍
𠨐	𠨐 𾞎
卓	卓 𾞏
𢂦	𢂦 𾞐
𥃩	𥃩 𾞑
艮	艮 𾞑
从	从 𾞒
從	從 𾞓
𨑹	𨑹 𾞓
𨑢	𨑢 𾞓
𢆙	𢆙 𾞔
并	并 𾞔
幷	幷 𾞔
比	比 𾞕
夶	夶 𾞖
毖	毖 𾞗
北	北 𾞘
冀	冀 𾞙
𠀌	𠀌 𾞚
丘	丘 𾞚
丠	丠 𾞚
𤤘	𤤘 𾞛
𡊣	𡊣 𾞛
虗	虗 𾞜
𧆳	𧆳 𾞜
屔	屔 𾞝
㐺	㐺 𾞞
乑	乑 𾞞
𫡑	𫡑 𾞞
𰁧	𰁧 𾞞
众	众 𾞞
眾	眾 𾞟
衆	衆 𾞟
聚	聚 𾞠
臮	臮 𾞡
𮍙	𮍙 𾞡
𡮧	𡮧 𾞢
𡔛	𡔛 𾞣
𡈼	𡈼 𾞣
徵	徵 𾞤
𢾷	𢾷 𾞥
朢	朢 𾞦
𦣠	𦣠 𾞧
㸒	㸒 𾞨
𡍺	𡍺 𾞩
重	重 𾞩
𡍴	𡍴 𾞩
量	量 𾞪
𨤦	𨤦 𾞫
臥	臥 𾞬
卧	卧 𾞬
監	監 𾞭
𧗄	𧗄 𾞭
𧨭	𧨭 𾞮
𧩾	𧩾 𾞮
臨	臨 𾞯
䭆	䭆 𾞰
身	身 𾞱
軀	軀 𾞲
㐆	㐆 𾞳
𠂣	𠂣 𾞳
殷	殷 𾞴
𠅃	𠅃 𾞵
衣	衣 𾞵
𱎣	𱎣 𾞵
𧚝	𧚝 𾞶
裁	裁 𾞶
衮	衮 𾞷
袞	袞 𾞸
𧝑	𧝑 𾞹
褕	褕 𾞺
袀	袀 𾞻
袗	袗 𾞼
裖	裖 𾞽
𧘝	𧘝 𾞾
表	表 𾞾
𧞧	𧞧 𾞿
裏	裏 𾟀
襁	襁 𾟁
襋	襋 𾟂
襮	襮 𾟃
𧟊	𧟊 𾟃
衽	衽 𾟄
褸	褸 𾟅
𧛽	𧛽 𾟆
褽	褽 𾟆
𧜷	𧜷 𾟆
𧚨	𧚨 𾟇
䘳	䘳 𾟈
褘	褘 𾟉
衭	衭 𾟊
襲	襲 𾟋
𧟟	𧟟 𾟌
袍	袍 𾟍
襺	襺 𾟎
𧝵	𧝵 𾟏
褋	褋 𾟐
袤	袤 𾟑
𧝺	𧝺 𾟒
襘	襘 𾟓
褧	褧 𾟔
袛	袛 𾟕
裯	裯 𾟖
襤	襤 𾟗
䙃	䙃 𾟘
𧛔	𧛔 𾟙
袪	袪 𾟚
褎	褎 𾟛
袖	袖 𾟜
袂	袂 𾟝
褢	褢 𾟞
褱	褱 𾟟
袌	袌 𾟠
襜	襜 𾟡
袥	袥 𾟢
衸	衸 𾟣
襗	襗 𾟤
袉	袉 𾟥
裾	裾 𾟦
衧	衧 𾟧
𧘚	𧘚 𾟧
褰	褰 𾟨
襱	襱 𾟩
𧟎	𧟎 𾟪
襩	襩 𾟪
袑	袑 𾟫
襑	襑 𾟬 𾟭
襃	襃 𾟮
𧛙	𧛙 𾟮
𮖥	𮖥 𾟮
䙗	䙗 𾟯
𧝐	𧝐 𾟯
褍	褍 𾟰
䙟	䙟 𾟱
𧜰	𧜰 𾟲
複	複 𾟲
褆	褆 𾟳
襛	襛 𾟴
𧟒	𧟒 𾟴
裻	裻 𾟵
袳	袳 𾟶
裔	裔 𾟷
𧘊	𧘊 𾟸
衯	衯 𾟹
袁	袁 𾟺
𧜣	𧜣 𾟻
褺	褺 𾟼
裵	裵 𾟽
裴	裴 𾟽
襡	襡 𾟾
𧞐	𧞐 𾟿
襦	襦 𾠀
褊	褊 𾠁
袷	袷 𾠂
襌	襌 𾠃
𧞻	𧞻 𾠄
襄	襄 𾠄
𡣿	𡣿 𾠅
被	被 𾠆
衾	衾 𾠇
𧘭	𧘭 𾠇
襐	襐 𾠈
衵	衵 𾠉
褻	褻 𾠊
衷	衷 𾠋
袾	袾 𾠌
袓	袓 𾠍
裨	裨 𾠎
袢	袢 𾠏
雜	雜 𾠐
裕	裕 𾠑
襞	襞 𾠒
衦	衦 𾠓
𧚲	𧚲 𾠔
裂	裂 𾠔
𧘽	𧘽 𾠕
袒	袒 𾠖
補	補 𾠗
𧝉	𧝉 𾠘
褫	褫 𾠙
𧝹	𧝹 𾠚
裸	裸 𾠛
裎	裎 𾠜
裼	裼 𾠝
衺	衺 𾠞
襭	襭 𾠟
擷	擷 𾠠
袺	袺 𾠡
𧟔	𧟔 𾠢
褿	褿 𾠢
裝	裝 𾠣
裹	裹 𾠤
裛	裛 𾠥
𪗋	𪗋 𾠦
裋	裋 𾠧
䙔	䙔 𾠨
褐	褐 𾠩
褗	褗 𾠪
裺	裺 𾠫
衰	衰 𾠬
𮕫	𮕫 𾠬
𧜸	𧜸 𾠬
𠱗	𠱗 𾠭
𠆏	𠆏 𾠭
卒	卒 𾠮
褚	褚 𾠯
製	製 𾠰
袚	袚 𾠱
襚	襚 𾠲
䘟	䘟 𾠳
裞	裞 𾠴
褮	褮 𾠵
䘰	䘰 𾠶
褭	褭 𾠷
袨	袨 𾠸
衫	衫 𾠹
襖	襖 𾠺
𧚍	𧚍 𾠻
裘	裘 𾠻
求	求 𾠼
𩱝	𩱝 𾠽
𩱘	𩱘 𾠽
老	老 𾠾
耊	耊 𾠿
𦽡	𦽡 𾡀
耆	耆 𾡁
耇	耇 𾡂
𦒻	𦒻 𾡃
𦒶	𦒶 𾡄
𦓃	𦓃 𾡅
𦓆	𦓆 𾡅
壽	壽 𾡅
考	考 𾡆
孝	孝 𾡇 𿯂
毛	毛 𾡈
𣯍	𣯍 𾡉
㲦	㲦 𾡊
毨	毨 𾡋
𣯩	𣯩 𾡌
氈	氈 𾡍
毦	毦 𾡎
氍	氍 𾡏
毹	毹 𾡐
毾	毾 𾡑
㲪	㲪 𾡒
毬	毬 𾡓
氅	氅 𾡔
毳	毳 𾡕
䩁	䩁 𾡖
𡰣	𡰣 𾡗
尸	尸 𾡗
㞟	㞟 𾡘
居	居 𾡙
𧿃	𧿃 𾡚
㞒	㞒 𾡛
㞕	㞕 𾡜
屑	屑 𾡜
㞡	㞡 𾡝
展	展 𾡝
届	届 𾡞
屆	屆 𾡞
尻	尻 𾡟
𡱂	𡱂 𾡠
𡱒	𡱒 𾡠
𦞠	𦞠 𾡡
𩪡	𩪡 𾡢
㞓	㞓 𾡣
尼	尼 𾡤
㞚	㞚 𾡥
㞏	㞏 𾡦
𡰫	𡰫 𾡧
屒	屒 𾡨
屖	屖 𾡩
屝	屝 𾡪
屍	屍 𾡫
屠	屠 𾡬
屟	屟 𾡭
屋	屋 𾡮
𡲃	𡲃 𾡯
𦤿	𦤿 𾡰
𦥂	𦥂 𾡱
屛	屛 𾡲
屏	屏 𾡲
層	層 𾡳
屢	屢 𾡴
尺	尺 𾡵
咫	咫 𾡶
㞑	㞑 𾡷
尾	尾 𾡷
屬	屬 𾡸
屈	屈 𾡹
𡲬	𡲬 𾡹
尿	尿 𾡺
𡲘	𡲘 𾡺
𡳐	𡳐 𾡻
履	履 𾡻
𩕎	𩕎 𾡼
屨	屨 𾡽
𡳸	𡳸 𾡾
𡱣	𡱣 𾡿
屩	屩 𾢀
屐	屐 𾢁
舟	舟 𾢂
俞	俞 𾢃
𰂙	𰂙 𾢃
船	船 𾢄
䑣	䑣 𾢅
舳	舳 𾢆
艫	艫 𾢇
𦨉	𦨉 𾢈
艐	艐 𾢉
𦩎	𦩎 𾢊
𦨶	𦨶 𾢊
朕	朕 𾢊
𣍹	𣍹 𾢊
舫	舫 𾢋
般	般 𾢌
𦨗	𦨗 𾢍
𦨕	𦨕 𾢎
服	服 𾢎
𦨈	𦨈 𾢏
𦩍	𦩍 𾢐
舸	舸 𾢑
艇	艇 𾢒
艅	艅 𾢓
𦪄	𦪄 𾢔
方	方 𾢕
汸	汸 𾢖
𣃚	𣃚 𾢗
斻	斻 𾢗
儿	儿 𾢘
兀	兀 𾢙
兒	兒 𾢚
允	允 𾢛
兌	兌 𾢜
兑	兑 𾢜
充	充 𾢝
亮	亮 𾢞
兄	兄 𾢟
𠓆	𠓆 𾢠
兢	兢 𾢠
兂	兂 𾢡
簪	簪 𾢢
兓	兓 𾢣
皃	皃 𾢤
䫉	䫉 𾢥
貌	貌 𾢦
𡭪	𡭪 𾢧
𢍘	𢍘 𾢨
𢌮	𢌮 𾢩
弁	弁 𾢩
𠑼	𠑼 𾢪
𠑹	𠑹 𾢪
兜	兜 𾢫
先	先 𾢬
兟	兟 𾢭
秃	秃 𾢮
𥤒	𥤒 𾢯
穨	穨 𾢯
見	見 𾢰
視	視 𾢱
𥄙	𥄙 𾢲
眡	眡 𾢳
䚕	䚕 𾢴
覣	覣 𾢵
𧡎	𧡎 𾢶
覶	覶 𾢷
䚄	䚄 𾢸
𧡩	𧡩 𾢹
𧡠	𧡠 𾢺
覝	覝 𾢺 𾢻
䚋	䚋 𾢼
觀	觀 𾢽 𾢾
覽	覽 𾣀
䚅	䚅 𾣁
𧡰	𧡰 𾣂
𧡨	𧡨 𾣂
𧢨	𧢨 𾣃
𧢄	𧢄 𾣃
𧠎	𧠎 𾣄
覰	覰 𾣅
覭	覭 𾣆
𧡪	𧡪 𾣇
覯	覯 𾣈
𧢦	𧢦 𾣉
覘	覘 𾣊
覹	覹 𾣋
覢	覢 𾣌
䚔	䚔 𾣍
𧢜	𧢜 𾣎
𧠟	𧠟 𾣏
𧠠	𧠠 𾣐
𧡹	𧡹 𾣑
𧡬	𧡬 𾣒
𧠊	𧠊 𾣓
覬	覬 𾣔
覦	覦 𾣕
𧢆	𧢆 𾣖
𧢢	𧢢 𾣗
覺	覺 𾣘
䚐	䚐 𾣙
靚	靚 𾣚
𧡿	𧡿 𾣛
親	親 𾣛
𧢚	𧢚 𾣜
覲	覲 𾣜
覜	覜 𾣝
覒	覒 𾣞
覕	覕 𾣟
䙾	䙾 𾣠
𧡸	𧡸 𾣡
覿	覿 𾣢
覞	覞 𾣣
𧢞	𧢞 𾣤
䨳	䨳 𾣥
欠	欠 𾣦
欽	欽 𾣧
㱍	㱍 𾣨
欯	欯 𾣩
欨	欨 𾣪
歑	歑 𾣫
㰲	㰲 𾣬
歟	歟 𾣭
𣣲	𣣲 𾣮
歕	歕 𾣯
歇	歇 𾣰
歡	歡 𾣱
欣	欣 𾣲
弞	弞 𾣳
㱁	㱁 𾣴
歀	歀 𾣵
㰟	㰟 𾣶
欲	欲 𾣷
歌	歌 𾣸
謌	謌 𾣹
𣤀	𣤀 𾣺
歂	歂 𾣺
歍	歍 𾣻
𣤶	𣤶 𾣼
噈	噈 𾣽
𣢰	𣢰 𾣾
欦	欦 𾣿
歋	歋 𾤀
歊	歊 𾤁
欻	欻 𾤂
𣢑	𣢑 𾤃
𣣳	𣣳 𾤄
歎	歎 𾤆
𣥁	𣥁 𾤇
欸	欸 𾤉
㰣	㰣 𾤊
歐	歐 𾤋
歔	歔 𾤌
欷	欷 𾤍
歜	歜 𾤎
𣣸	𣣸 𾤏
㵣	㵣 𾤐
㰾	㰾 𾤑
㱇	㱇 𾤒
𣤹	𣤹 𾤓
𣤭	𣤭 𾤔
㰮	㰮 𾤕
㱎	㱎 𾤖
歃	歃 𾤗
欶	欶 𾤘
歁	歁 𾤙
欿	欿 𾤚
欱	欱 𾤛
歉	歉 𾤜
䯉	䯉 𾤝
欭	欭 𾤞
欬	欬 𾤟
𣤢	𣤢 𾤠
歙	歙 𾤡
㰶	㰶 𾤢
𣢜	𣢜 𾤣
欪	欪 𾤤
欥	欥 𾤥
次	次 𾤦
𠕞	𠕞 𾤧
𦮏	𦮏 𾤧
㱂	㱂 𾤨
欺	欺 𾤩
歆	歆 𾤪
歈	歈 𾤫
㱃	㱃 𾤬
𣲎	𣲎 𾤭
𩚜	𩚜 𾤮
歠	歠 𾤯
吷	吷 𾤰
㳄	㳄 𾤱
𰜅	𰜅 𾤲
𣶚	𣶚 𾤲
𣶙	𣶙 𾤳
𣶛	𣶛 𾤳
羨	羨 𾤴
羡	羡 𾤴
𣢭	𣢭 𾤵
𠩗	𠩗 𾤵
盜	盜 𾤶
盗	盗 𾤶
㒫	㒫 𾤷
旡	旡 𾤸
𣄸	𣄸 𾤹
𣄴	𣄴 𾤺
𩑋	𩑋 𾤻
頁	頁 𾤻
頭	頭 𾤼
顏	顏 𾤽
顔	顔 𾤽
𩕝	𩕝 𾤾
𩠪	𩠪 𾤿
頌	頌 𾥀
𩔜	𩔜 𾥁
𩑒	𩑒 𾥂
顱	顱 𾥃
𩕾	𩕾 𾥄
𩖈	𩖈 𾥄
顚	顚 𾥅
顛	顛 𾥅
頂	頂 𾥆
𩒆	𩒆 𾥇
𩠑	𩠑 𾥈
𩕢	𩕢 𾥉
顙	顙 𾥊
題	題 𾥋
頟	頟 𾥌
頞	頞 𾥍
齃	齃 𾥎
頯	頯 𾥏
頰	頰 𾥐
𩔯	𩔯 𾥑
𩠣	𩠣 𾥒
𩓓	𩓓 𾥓
䫀	䫀 𾥓
頜	頜 𾥔
𩔞	𩔞 𾥕
顄	顄 𾥕
頸	頸 𾥖
領	領 𾥗
項	項 𾥘
䪴	䪴 𾥙
顀	顀 𾥚
𩑢	𩑢 𾥛
顩	顩 𾥜
䪳	䪳 𾥝
頵	頵 𾥞
䫟	䫟 𾥟
䫡	䫡 𾥠
碩	碩 𾥡
頒	頒 𾥢
顒	顒 𾥣
䫞	䫞 𾥤
顝	顝 𾥥
願	願 𾥦
顤	顤 𾥧
頎	頎 𾥨
䫨	䫨 𾥩
𩓆	𩓆 𾥪
𩓥	𩓥 𾥪
𩒳	𩒳 𾥫
𩖊	𩖊 𾥬
𩔀	𩔀 𾥭
頑	頑 𾥮
𩓸	𩓸 𾥯
顆	顆 𾥰
𩒲	𩒲 𾥱
頢	頢 𾥱
頲	頲 𾥲
頠	頠 𾥳
頷	頷 𾥴
𩔃	𩔃 𾥵
頍	頍 𾥶
𩓔	𩓔 𾥷
𩑦	𩑦 𾥷
顧	顧 𾥸
順	順 𾥹
䪾	䪾 𾥺
䫰	䫰 𾥻
𩕼	𩕼 𾥻
顓	顓 𾥼
頊	頊 𾥽
顉	顉 𾥾
頓	頓 𾥿
頫	頫 𾦀
俛	俛 𾦁
頣	頣 𾦂
𩕊	𩕊 𾦃
頡	頡 𾦄
䪼	䪼 𾦅
顥	顥 𾦆
䫶	䫶 𾦇
𩓞	𩓞 𾦈
頨	頨 𾦉
顗	顗 𾦊
顅	顅 𾦋
𩓽	𩓽 𾦌
𩒱	𩒱 𾦍
𩑡	𩑡 𾦎
頛	頛 𾦏
𩓕	𩓕 𾦏
䫌	䫌 𾦐
䫔	䫔 𾦑
䫥	䫥 𾦒
頗	頗 𾦓
𩑣	𩑣 𾦔
疣	疣 𾦕
顫	顫 𾦖
顑	顑 𾦗
顲	顲 𾦘
煩	煩 𾦙
𩕺	𩕺 𾦚
顡	顡 𾦚
頪	頪 𾦛
顦	顦 𾦜
顇	顇 𾦝
䫒	䫒 𾦞
頦	頦 𾦟
䫏	䫏 𾦠
𥸤	𥸤 𾦡
顯	顯 𾦢
𩔊	𩔊 𾦣
預	預 𾦤
脜	脜 𾦦
𡇢	𡇢 𾦧
面	面 𾦧
𧡻	𧡻 𾦨
靦	靦 𾦨
𩈍	𩈍 𾦩
䩉	䩉 𾦪
䩌	䩌 𾦫
靨	靨 𾦬
丏	丏 𾦭
𩠐	𩠐 𾦮
首	首 𾦮
䭬	䭬 𾦯
剸	剸 𾦰 𾦱
𥄉	𥄉 𾦲
縣	縣 𾦳
須	須 𾦴
頿	頿 𾦵
頾	頾 𾦵
𩓿	𩓿 𾦶
䫇	䫇 𾦶
𩒹	𩒹 𾦶
𩓾	𩓾 𾦶
